name,gender,slug,url,origin,meaning,about,short_forms,international_forms,first_letter,letters_count,popularity_place,popularity_bucket,tags
Александр,m,aleksandr,https://n-e-n.ru/imena/imya/aleksandr/,древнегреческое,«защитник людей» — от алексо (защищать) и «анер» (мужчина),"Самое устойчивое мужское имя русской истории: три императора, Пушкин, Суворов и бессчётные Саши во всех дворах страны. Александрами называли так часто, что у имени накопился десяток коротких форм — от нейтрального Саши до дворового Сани и делового Алекса. При этом за границей оно не требует адаптации: Alexander читается везде.",Саша; Шура; Саня; Алекс,Alexander; Alessandro; Alejandro; Alex,А,9,1,top,классика
Татьяна,f,tatyana,https://n-e-n.ru/imena/imya/tatyana/,латинское,от имени сабинского царя Татия; «устроительница»,"Имя Татьяна имеет несколько версий своего происхождения. По первой версии оно уходит своими корнями в историю Древнего Рима и является формой мужского имени Татиус, в некоторых трактовках оно звучит как Татиан, Татий. Согласно второй версии имя пришло к нам из Греции, происходит от слова «татто», что значит «устанавливать», «определять», «устраивать».",Таня; Танюша,Tatiana; Tanya,Т,7,1,top,классика
Валентина,f,valentina,https://n-e-n.ru/imena/imya/valentina/,латинское,"«здоровая, сильная» — парное к Валентину","Имя Валентина пришло из Древнего Рима: это женская форма родового имени Валентин, восходящего к латинскому «valens» — «здоровая», «сильная». В Европе одинаково популярны обе формы, а на Руси чаще называли девочек.",Валя; Валюша; Тина,Valentina; Valentine,В,9,2,top,классика
Николай,m,nikolay,https://n-e-n.ru/imena/imya/nikolay/,древнегреческое,«победитель народов» — от нике (победа) и «лаос» (народ),"Имя Николай происходит от таких древнегреческих слов, как «никос» и «лаос», которые означают соответственно «победитель» и «народ». Имя Николай пришло на Русь из Древней Греции.",Коля; Николаша,Nicholas; Nicolas; Niccolò; Klaus,Н,7,2,top,классика
Владимир,m,vladimir,https://n-e-n.ru/imena/imya/vladimir/,славянское,«владеющий миром» — двухосновное княжеское имя,"У имени Владимир несколько версий происхождения. По основной из них, имя славянское и состоит из двух корней: «владь» — «власть» и «мир». Отсюда толкование «владеющий миром».",Вова; Володя,Vladimir; Waldemar,В,8,3,top,классика
Елена,f,elena,https://n-e-n.ru/imena/imya/elena/,древнегреческое,"вероятно, «факел, свет»; имя героини Троянской войны","Елена – женское имя древнегреческого происхождения. Есть версия, что имя происходит от самоназвания греков «эллины». Один из вариантов происхождения имени от греческого слова «элэни, элани» — «тростниковый факел».",Лена; Алёнка; Леночка,Helen; Hélène; Elena,Е,5,3,top,классика; короткое
Мария,f,mariya,https://n-e-n.ru/imena/imya/mariya/,древнееврейское,"от Мирьям; значение спорно — «горькая», «желанная» или «безмятежная»","Мария — самое распространённое женское имя в мире: в христианских странах его носит каждая двадцатая женщина той или иной эпохи. В России оно прошло путь от крестьянской Марьи до графини Марии Волконской и обратно — сейчас стабильно в первой пятёрке. Значение при этом остаётся спорным: филологи предлагают версии от «горькая» до «желанная», честнее признать, что точно не знает никто.",Маша; Маруся; Мари,Maria; Mary; Marie,М,5,4,top,классика; короткое
Сергей,m,sergey,https://n-e-n.ru/imena/imya/sergey/,латинское,от римского родового имени Sergius,"Самая распространенная из них — древнеримское происхождение от родового имени Sergius, которое, в свою очередь, зародилось от Сергии — древнеримского патрицианского рода, уходящего своими корнями в далекую Трою. С латыни это имя переводится как «знатный». По другой версии, Сергей – это форма старинного имени Сергий, произошедшего в свою очередь от латинского «servi dei» — «слуга Бога».",Серёжа; Серж,Sergio; Serge,С,6,4,top,классика
Алексей,m,aleksey,https://n-e-n.ru/imena/imya/aleksey/,древнегреческое,"«защитник» — от того же корня, что Александр","Алексей — мужское имя греческого происхождения. Древнегреческое Алексиос буквально переводится как «защитник» и происходит от слова «алексо» — «защищать», «отражать».",Лёша; Алёша; Лёха,Alexis; Alessio; Alexei,А,7,5,top,классика
Анна,f,anna,https://n-e-n.ru/imena/imya/anna/,древнееврейское,"«милость, благодать» — от Ханна","Анна — из имён, которые не подвержены моде вовсе: оно в ходу тысячу лет и ни разу не уходило в тень. Каренина, Ахматова, императрица Анна Иоанновна — культурный багаж имени огромен, а формы на любой возраст: Анюта для девочки, Аня на каждый день, полная Анна для подписи. Во всех европейских языках читается без перевода.",Аня; Анюта; Нюша,Anna; Anne; Ana; Hannah,А,4,5,top,классика; короткое
